Store Code,DC Code,DC Name,Nama Toko,Kelurahan,Kecamatan,Kab/Kota,Latitude,Longitude,Tipe
TWW9,,,METLAND CILEUNGSI NO. 15-17,,,KABUPATEN BOGOR,-6.388194,106.985972,INDOMARET
TWWB,G157,DC LEBAK,PABUARAN CILEGON,,,KOTA CILEGON,-5.986305,106.018305,INDOMARET
TWWE,G080,DC PURWAKARTA,PULO SIRIH RAYA,,,KOTA JAKARTA TIMUR,-6.264717,106.972106,INDOMARET
TWWF,G260,DC BANGKA,TANJUNG BINGA 168,,,KABUPATEN BELITUNG,-2.593033,107.643556,INDOMARET
TWWL,G156,DC KLATEN,ADI SUCIPTO 3,,,KOTA SURAKARTA,-7.551722,110.792583,INDOMARET
TWWQ,G005,DC BANDAR LAMPUNG,BANGUN REJO BAWANG,,,KABUPATEN LAMPUNG SELATAN,-5.743006,105.145133,INDOMARET
TWWS,G034,DC BALI,BEDUGUL 2,,,KOTA DENPASAR,-8.272321,115.163727,INDOMARET
TWWT,G034,DC BALI,WANAYU,,,KOTA DENPASAR,-8.530694,115.300000,INDOMARET
TWWY,G107,DC PARUNG,BONA INDAH PLAZA,,,KOTA JAKARTA SELATAN,-6.300936,106.780728,INDOMARET
TWX0,G237,DC KUPANG,BHAKTI KARANG,,,KABUPATEN KUPANG,-10.159372,123.601425,INDOMARET
TWX5,G107,DC PARUNG,BINTARO UTAMA 3,,,KOTA TANGERANG SELATAN,-6.271667,106.747778,INDOMARET
TWXA,G244,DC MANADO,ILOHELUMA KASMATLAHAY,,,KOTA GORONTALO,0.562019,123.122550,INDOMARET
TWXE,,,SUNAN GUNUNG JATI,,,KOTA JAMBI,-1.642389,103.589167,INDOMARET
TWXF,G116,DC BATAM,KAVLING SENJULUNG-BATAM,,,KOTA JAMBI,-1.069600,104.117164,INDOMARET
TWXI,,,POINT TERMINAL 1C GATE 5,,,KOTA TANGERANG,-6.131583,106.652027,INDOMARET
TWXL,,,PASIR PUTIH,,,LAINNYA,-0.872833,134.081222,INDOMARET
TWXM,G005,DC BANDAR LAMPUNG,MULYO ASRI 2-TUBABA,,,KOTA PALEMBANG,-4.631708,105.161464,INDOMARET
TWXO,G244,DC MANADO,PERUM KAWANGKOAN NO 271,,,KOTA MANADO,1.461364,124.923556,INDOMARET
TWXQ,G137,DC JAKARTA 2,PULO GEBANG NO.02,,,KOTA JAKARTA TIMUR,-6.191458,106.958719,INDOMARET
TWXS,G117,DC BOGOR 2,PASAR CITAYAM,,,KABUPATEN BOGOR,-6.450886,106.801164,INDOMARET
TWXT,G105,DC BEKASI,SUKAKARYA,,,KABUPATEN BOGOR,-6.141806,107.163083,INDOMARET
TWXV,G113,DC BOGOR,PARAKAN SALAK 3,,,KOTA TANGERANG SELATAN,-6.819189,106.732122,INDOMARET
TWXX,G029,DC PALEMBANG,TUGU JAYA,,,KOTA PALEMBANG,-3.814214,104.906281,INDOMARET
TWXY,G137,DC JAKARTA 2,SUNAN DRAJAD C7,,,KOTA JAKARTA TIMUR,-6.196072,106.894889,INDOMARET
TWXZ,,,RAYA MAOSPATI NGAWI,,,KABUPATEN PATI,-7.474400,111.431064,INDOMARET
TWY3,G148,DC JOMBANG,RAYA MUNJUNGAN TRENGGALEK,,,KOTA SEMARANG,-8.297917,111.577583,INDOMARET
TWYA,G137,DC JAKARTA 2,PONDOK KELAPA RAYA 1A-1B,,DUREN SAWIT,KOTA JAKARTA TIMUR,-6.243917,106.934361,INDOMARET
