"store_code","store_name","branch_code","branch_name","fc_code","flagroute","mds_name","latitude","longitude","tipe_toko","","","",""
"L276","SIMBAR WARINGIN/F [SBWG]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.138087","105.248377","AU 8P COKE","","L276,1VZ1,L609","",""
"L282","A YANI PONCOWATI [AYPC]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.89894","105.20227","AU 10P COKE","","L282,1VZ1,L609","",""
"L289","DR SUTOMO METRO [DRSM]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.086324","105.299259","AC 10P COKE","","L289,1VZ1,L609","",""
"L291","DIPONEGORO METRO [DPGM]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.103824","105.305828","AU 10P COKE","","L291,1VZ1,L609","",""
"L292","YOS SUDARSO METRO [YSRM]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.122325","105.301877","AU 10P COKE","","L292,1VZ1,L609","",""
"L295","MERDEKA WAY JEPARA [MKWJ]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.176431","105.704563","","","L295,1VZ1,L609","",""
"L335","A YANI 2 METRO [AY2M]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.124177","105.321768","AC 10P COKE","","L335,1VZ1,L609","",""
"L386","WAY JEPARA 3 [WYJ3]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.174562","105.696455","","","L386,1VZ1,L609","",""
"L388","SEKAMPUNG [SKPG]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.132808","105.434157","","","L388,1VZ1,L609","",""
"L428","JEN-SUD BANDAR JAYA [JSBJ]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.933825","105.217183","AC 10P COKE","","L428,1VZ1,L609","",""
"L446","WOLTER MONGINSIDIMTR [WMTR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.103737","105.320242","AU 10P COKE","","L446,1VZ1,L609","",""
"L473","PAKUAN AJI ( FRC )/F [PKA1]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.118378","105.624949","","","L473,1VZ1,L609","",""
"L480","BATANG HARI 2 [BTH2]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.135994","105.337597","AU 8P COKE","","L480,1VZ1,L609","",""
"L481","WAY JEPARA 5 [WJP5]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.161475","105.704949","","","L481,1VZ1,L609","",""
"L487","PUJOKERTO FRC/F [PJKF]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.077609","105.258828","","","L487,1VZ1,L609","",""
"L500","SUKADANA LAMTIM [SKL1]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.128248","105.282825","","","L500,1VZ1,L609","",""
"L525","AH. NASUTION FRC/F [AHNF]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.113844","105.316036","AU 10P COKE","","L525,1VZ1,L609","",""
"L543","IR. SUTAMI [IRS1]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.306873","105.546472","","","L543,1VZ1,L609","",""
"L549","SOEKARNO HATTA 2 MTR [SH2M]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.133484","105.291513","AU 10P COKE","","L549,1VZ1,L609","",""
"L553","ALAMSYAH RPN 2 MTR [AR2M]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.135189","105.306225","AU 10P COKE","","L553,1VZ1,L609","",""
"L559","JL. KESEHATAN FRC/F [JKST]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.299593","104.983660","","","L559,1VZ1,L609","",""
"L564","ALAMSYAH RPN METRO/F [AHRM]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.118238","105.307430","","","L564,1VZ1,L609","",""
"L579","A. YANI 3 METRO FRC/F [A3MT]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.120616","105.321689","AU 10P COKE","","L579,1VZ1,L609","",""
"L609","WARINGIN SARI [WRSI]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.276806","104.983240","","","L609,1VZ1,L609","",""
"L631","PANDAN SURAT [PDS1]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.302241","105.006477","AU 8P NON COKE","","L631,1VZ1,L609","",""
"L672","SUKOHARJO I [SKHO]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.311844","104.980052","","","L672,1VZ1,L609","",""
"L720","KSB BANGUN SARI/F [KSBB]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.205859","105.081728","","","L720,1VZ1,L609","",""
"L728","KSB TRIMULYO/F [KS0M]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.175924","105.117780","","","L728,1VZ1,L609","",""
